id_siniestro,id_poliza,id_asegurado,id_vehiculo,id_conductor,id_proveedor,ramo,cobertura,fecha_ocurrencia,fecha_reporte,monto_reclamado,monto_estimado,monto_pagado,estado,sucursal,ciudad,descripcion,documentos_completos,beneficiario,dias_desde_inicio_poliza,dias_desde_fin_poliza,dias_entre_ocurrencia_reporte,historial_siniestros_asegurado,historial_siniestros_vehiculo,historial_siniestros_conductor,historial_solo_rc_asegurado,tipo_impacto,hora_evento,tercero_identificado,evidencia_camaras,tipo_via,clima,documento_inconsistente,relato_ilogico,narrativa_cluster_id,similitud_narrativa_max,etiqueta_fraude_simulada,perfil_riesgo_generacion,suma_asegurada,deducible,canal_venta,proveedor_en_lista_restrictiva,proveedor_casos_observados_ultimo_anio,ratio_monto_suma_asegurada,score_reglas,score_modelo_simulado,score_final,nivel_riesgo,alertas_activadas,reglas_criticas_activadas,accion_sugerida
SIN-00212,POL-00315,ASEG-00039,VEH-00417,COND-00317,PROV-0050,Vehiculos,Responsabilidad Civil,2024-09-06,2024-09-12,2430,2710,2430,Pago Parcial,Quito Centro,Quito,Choque menor en parqueadero con dano en parachoques. Administracion entrega reporte interno.,No,PROV-0050,146,219,6,2,7,3,0,Sin impacto,13,No,Si,Parqueadero,Lluvia,No,No,,0.5,0,normal,12600,250,Sucursal,No,1,0.1929,25,15.1,21.5,Verde Bajo,Frecuencia moderada de reclamos del asegurado | Alta frecuencia de reclamos del vehiculo | Alta frecuencia de reclamos del conductor | Documentos incompletos | Reporte tardio entre 4 y 7 dias,,Continuar flujo normal con controles estandar
SIN-00213,POL-00159,ASEG-00054,VEH-00127,COND-00232,PROV-0006,Vehiculos,Choque,2025-04-02,2025-04-04,4490,5060,2700,Reserva,Cuenca,Cuenca,Robo parcial de accesorios durante la noche. Se presenta denuncia y detalle de bienes afectados.,Si,PROV-0006,198,167,2,7,4,1,2,Lateral,3,Si,Si,Residencial,Lluvia,No,No,,0.47,0,normal,52500,200,Broker,No,0,0.0855,14,10.6,12.8,Verde Bajo,Alta frecuencia de reclamos del asegurado | Alta frecuencia de reclamos del vehiculo,,Continuar flujo normal con controles estandar
SIN-00214,POL-00520,ASEG-00206,VEH-00068,COND-00452,PROV-0009,Vehiculos,Responsabilidad Civil,2025-11-26,2025-11-26,910,780,360,Liquidado,Guayaquil Sur,Guayaquil,El reclamo incluye factura emitida el mismo dia del evento y documentos entregados parcialmente.,Si,PROV-0009,203,162,0,1,1,2,0,Volcadura,12,No,No,Interprovincial,Neblina,No,No,,0.56,0,medio,20400,300,Banca Seguros,Si,2,0.0446,14,37.7,61.8,Amarillo Medio,Frecuencia moderada de reclamos del conductor | Proveedor en lista restrictiva simulada,RF-03,Escalar a revision documental y validacion de soportes
SIN-00215,POL-00016,ASEG-00347,VEH-00024,COND-00075,PROV-0016,Vehiculos,Choque,2023-05-04,2023-05-07,10320,11620,8260,Reserva,Quito Norte,Quito,Colision posterior a baja velocidad durante trafico pesado. El tercero fue identificado y se adjunta contacto.,Si,PROV-0016,112,253,3,0,0,0,0,Posterior,2,Si,Si,Perimetral,Noche seca,No,No,,0.37,0,normal,50800,1000,Sucursal,Si,1,0.2031,10,8.2,72.0,Amarillo Medio,Proveedor en lista restrictiva simulada,RF-03,Escalar a revision documental y validacion de soportes
SIN-00216,POL-00125,ASEG-00259,VEH-00033,COND-00472,PROV-0005,Vehiculos,Robo Total,2025-03-24,2025-03-27,17160,37250,0,Pago Total,Quito Sur,Quito,Atencion medica por accidente de transito con factura y formulario completo.,Si,PROV-0005,165,200,3,0,0,0,0,Robo,16,Si,No,Parqueadero,Noche lluvia,No,No,,0.42,0,normal,48400,200,Directo Web,No,2,0.3545,8,27.0,14.7,Verde Bajo,Demora denuncia por robo mayor a 48 horas,,Continuar flujo normal con controles estandar
SIN-00217,POL-00312,ASEG-00046,VEH-00165,COND-00372,PROV-0022,Vehiculos,Responsabilidad Civil,2024-05-30,2024-05-31,4480,4970,1790,Liquidado,Guayaquil Norte,Guayaquil,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0022,279,86,1,6,4,0,3,Estacionado,16,Si,No aplica,Interprovincial,Despejado,Si,No,,0.38,0,normal,28000,300,Agente,No,2,0.16,30,14.0,62.1,Amarillo Medio,Alta frecuencia de reclamos del asegurado | Alta frecuencia de reclamos del vehiculo | Frecuencia atipica de reclamos solo RC | Documentos inconsistentes o fechas no coinciden,RF-02,Escalar a revision documental y validacion de soportes
SIN-00218,POL-00238,ASEG-00144,VEH-00034,COND-00081,PROV-0043,Vehiculos,Responsabilidad Civil,2026-04-20,2026-04-22,5410,6750,0,Reserva,Guayaquil Norte,Guayaquil,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0043,192,173,2,2,2,2,0,Estacionado,12,Si,Si,Interprovincial,Neblina,No,No,,0.3,0,normal,47700,500,Banca Seguros,No,1,0.1134,11,20.8,14.4,Verde Bajo,Frecuencia moderada de reclamos del asegurado | Frecuencia moderada de reclamos del vehiculo | Frecuencia moderada de reclamos del conductor,,Continuar flujo normal con controles estandar
SIN-00219,POL-00400,ASEG-00117,VEH-00362,COND-00140,PROV-0023,Vehiculos,Choque,2025-06-04,2025-06-11,2820,2110,0,Negativa,Cuenca,Cuenca,El reclamo incluye factura emitida el mismo dia del evento y documentos entregados parcialmente.,Si,PROV-0023,339,26,7,1,1,0,0,Posterior,20,Si,No aplica,Parqueadero,Noche lluvia,No,No,,0.11,0,medio,13900,500,Sucursal,No,1,0.2029,7,45.6,20.5,Verde Bajo,Borde vigencia: siniestro cerca de fin de poliza | Reporte tardio entre 4 y 7 dias,,Continuar flujo normal con controles estandar
SIN-00220,POL-00191,ASEG-00088,VEH-00349,COND-00418,PROV-0029,Vehiculos,Choque,2024-06-08,2024-06-13,13630,16910,10900,Anticipo,Quito Sur,Quito,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0029,238,127,5,0,0,0,0,Posterior,12,Si,No,Interprovincial,Noche seca,No,No,,0.53,0,normal,52300,1000,Banca Seguros,No,1,0.2606,3,17.8,8.2,Verde Bajo,Reporte tardio entre 4 y 7 dias,,Continuar flujo normal con controles estandar
SIN-00221,POL-00170,ASEG-00284,VEH-00401,COND-00165,PROV-0026,Vehiculos,Responsabilidad Civil,2025-08-22,2025-08-24,2230,1980,1790,Pago Total,Guayaquil Norte,Guayaquil,El conductor reporta perdida de control en curva sin testigos disponibles.,Si,PROV-0026,336,29,2,4,2,1,1,Lateral,16,Si,Si,Parqueadero,Despejado,No,No,,0.08,0,medio,47600,750,Banca Seguros,No,5,0.0468,23,32.7,26.4,Verde Bajo,Borde vigencia: siniestro cerca de fin de poliza | Alta frecuencia de reclamos del asegurado | Frecuencia moderada de reclamos del vehiculo | Antecedente de reclamo solo RC | Proveedor recurrente en casos observados,,Continuar flujo normal con controles estandar
SIN-00222,POL-00456,ASEG-00165,VEH-00232,COND-00249,PROV-0010,Vehiculos,Responsabilidad Civil,2025-08-05,2025-08-09,9740,8200,0,Pago Parcial,Quito Centro,Quito,El conductor reporta perdida de control en curva sin testigos disponibles.,No,PROV-0010,144,221,4,5,2,2,0,Estacionado,1,Si,Si,Parqueadero,Neblina,No,No,,0.55,0,medio,40500,300,Sucursal,No,0,0.2405,22,36.1,26.9,Verde Bajo,Alta frecuencia de reclamos del asegurado | Frecuencia moderada de reclamos del vehiculo | Frecuencia moderada de reclamos del conductor | Documentos incompletos | Reporte tardio entre 4 y 7 dias,,Continuar flujo normal con controles estandar
SIN-00223,POL-00239,ASEG-00191,VEH-00400,COND-00341,PROV-0023,Vehiculos,Robo Total,2024-03-26,2024-03-27,4250,5860,1700,Negativa,Santo Domingo,Santo Domingo,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0023,296,69,1,2,2,1,1,Robo,21,Si,Si,Interprovincial,Noche lluvia,No,No,,0.35,0,normal,7200,500,Agente,No,1,0.5903,14,22.1,16.8,Verde Bajo,Demora denuncia por robo entre 24 y 48 horas | Frecuencia moderada de reclamos del asegurado | Frecuencia moderada de reclamos del vehiculo | Antecedente de reclamo solo RC,,Continuar flujo normal con controles estandar
SIN-00224,POL-00185,ASEG-00064,VEH-00312,COND-00197,PROV-0056,Vehiculos,Choque,2024-12-21,2024-12-27,3130,3730,2510,Pago Parcial,Manta,Manta,Colision posterior a baja velocidad durante trafico pesado. El tercero fue identificado y se adjunta contacto.,Si,PROV-0056,237,128,6,0,0,1,0,Sin impacto,6,No aplica,No aplica,Perimetral,Lluvia,No,No,,0.56,0,normal,21800,750,Agente,No,0,0.1436,3,13.2,6.6,Verde Bajo,Reporte tardio entre 4 y 7 dias,,Continuar flujo normal con controles estandar
SIN-00225,POL-00358,ASEG-00159,VEH-00302,COND-00434,PROV-0057,Vehiculos,Choque,2024-06-10,2024-06-18,2670,2060,2140,Pago Parcial,Quito Norte,Quito,Se reporta choque nocturno con danos moderados. No hay fotografias del momento del accidente.,Si,PROV-0057,199,166,8,3,0,1,1,Volcadura,3,No,No,Urbana,Noche seca,No,No,,0.3,0,medio,8200,200,Directo Web,No,1,0.3256,24,49.8,33.0,Verde Bajo,Alta frecuencia de reclamos del asegurado | Antecedente de reclamo solo RC | Accidente complejo en horario de madrugada | Evento sin tercero identificado ni evidencia de camaras | Reporte tardio mayor a 7 dias,,Continuar flujo normal con controles estandar
SIN-00226,POL-00328,ASEG-00281,VEH-00206,COND-00237,PROV-0016,Vehiculos,Choque,2024-01-10,2024-01-16,2620,2730,2620,Pago Total,Quito Sur,Quito,El vehiculo fue encontrado con danos al amanecer. No se identifica tercero responsable.,Si,PROV-0016,91,274,6,1,1,0,0,Posterior,18,Si,No,Urbana,Lluvia,Si,No,,0.05,0,medio,31600,500,Sucursal,Si,1,0.0829,23,35.2,86.2,Rojo Alto,Proveedor en lista restrictiva simulada | Documentos inconsistentes o fechas no coinciden | Reporte tardio entre 4 y 7 dias,RF-02 | RF-03,Escalar a unidad antifraude para revision especializada
SIN-00227,POL-00244,ASEG-00335,VEH-00087,COND-00129,PROV-0013,Vehiculos,Danos Propios,2024-02-13,2024-02-14,3330,3370,3330,Cierre Sin Consecuencia,Guayaquil Norte,Guayaquil,Colision posterior a baja velocidad durante trafico pesado. El tercero fue identificado y se adjunta contacto.,Si,PROV-0013,98,267,1,0,1,1,0,Posterior,19,No aplica,No,Urbana,Despejado,No,No,,0.24,0,normal,45700,200,Broker,No,2,0.0729,0,13.0,4.5,Verde Bajo,Sin alertas relevantes,,Continuar flujo normal con controles estandar
SIN-00228,POL-00335,ASEG-00247,VEH-00053,COND-00218,PROV-0055,Vehiculos,Danos Propios,2023-08-10,2023-08-11,6480,6500,6480,Pago Total,Cuenca,Cuenca,Colision posterior a baja velocidad durante trafico pesado. El tercero fue identificado y se adjunta contacto.,Si,PROV-0055,68,297,1,0,0,0,0,Estacionado,0,Si,No,Parqueadero,Noche lluvia,No,No,,0.27,0,normal,33100,1000,Sucursal,No,2,0.1958,0,6.1,2.1,Verde Bajo,Sin alertas relevantes,,Continuar flujo normal con controles estandar
SIN-00229,POL-00415,ASEG-00058,VEH-00213,COND-00245,PROV-0047,Vehiculos,Cristales,2023-04-18,2023-04-18,320,360,0,Reserva,Machala,Machala,Choque menor en parqueadero con dano en parachoques. Administracion entrega reporte interno.,Si,PROV-0047,96,269,0,2,2,0,2,Lateral,13,No,No aplica,Urbana,Noche lluvia,Si,No,,0.15,0,normal,29100,750,Broker,No,2,0.011,17,23.1,73.7,Amarillo Medio,Frecuencia moderada de reclamos del asegurado | Frecuencia moderada de reclamos del vehiculo | Documentos inconsistentes o fechas no coinciden,RF-02,Escalar a revision documental y validacion de soportes
SIN-00230,POL-00144,ASEG-00262,,,PROV-0001,Accidentes Personales,Accidente Personal,2023-09-29,2023-09-30,3000,3050,1800,Reserva,Manta,Manta,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0001,41,324,1,0,0,0,0,Estacionado,4,Si,Si,Residencial,Noche lluvia,No,No,,0.45,0,normal,20000,50,Banca Seguros,No,0,0.15,0,14.3,5.0,Verde Bajo,Sin alertas relevantes,,Continuar flujo normal con controles estandar
SIN-00231,POL-00474,ASEG-00045,VEH-00332,COND-00223,PROV-0019,Vehiculos,Choque,2024-12-16,2024-12-16,820,820,820,Liquidado,Manta,Manta,Ruptura de cristal por objeto en via. Se presenta factura y evidencia fotografica.,Si,PROV-0019,171,194,0,1,4,2,0,Estacionado,17,Si,No aplica,Perimetral,Noche seca,No,No,,0.23,0,normal,7000,500,Broker,No,1,0.1171,10,17.5,12.6,Verde Bajo,Alta frecuencia de reclamos del vehiculo | Frecuencia moderada de reclamos del conductor,,Continuar flujo normal con controles estandar
SIN-00232,POL-00329,ASEG-00311,VEH-00027,COND-00433,PROV-0058,Vehiculos,Choque,2023-06-26,2023-07-01,16490,17450,9900,Liquidado,Guayaquil Norte,Guayaquil,Atencion medica por accidente de transito con factura y formulario completo.,Si,PROV-0058,115,250,5,1,1,0,0,Estacionado,23,No,No,Urbana,Neblina,No,No,,0.42,0,normal,50100,300,Sucursal,No,2,0.3291,8,13.1,9.8,Verde Bajo,Evento sin tercero identificado ni evidencia de camaras | Reporte tardio entre 4 y 7 dias,,Continuar flujo normal con controles estandar
SIN-00233,POL-00228,ASEG-00325,VEH-00133,COND-00114,PROV-0029,Vehiculos,Danos Propios,2025-07-28,2025-07-28,560,480,340,Negativa,Santo Domingo,Santo Domingo,El reclamo incluye factura emitida el mismo dia del evento y documentos entregados parcialmente.,Si,PROV-0029,11,354,0,0,0,0,0,Estacionado,16,Si,No,Parqueadero,Lluvia,No,No,,0.27,1,medio,9900,500,Directo Web,No,1,0.0566,4,49.7,20.0,Verde Bajo,Borde vigencia: siniestro entre dias 11 y 30,,Continuar flujo normal con controles estandar
SIN-00234,POL-00120,ASEG-00119,VEH-00377,COND-00212,PROV-0048,Vehiculos,Gastos Medicos por Accidente,2024-10-13,2024-10-17,1530,1890,920,Liquidado,Guayaquil Norte,Guayaquil,Accidente en avenida principal durante lluvia. Se adjunta croquis y datos del tercero involucrado.,Si,PROV-0048,122,243,4,3,1,0,1,Posterior,10,Si,No,Residencial,Lluvia,No,No,,0.15,0,normal,22200,250,Broker,No,1,0.0689,14,18.0,15.4,Verde Bajo,Alta frecuencia de reclamos del asegurado | Antecedente de reclamo solo RC | Reporte tardio entre 4 y 7 dias,,Continuar flujo normal con controles estandar
SIN-00235,POL-00368,ASEG-00107,VEH-00121,COND-00251,PROV-0023,Vehiculos,Choque,2025-12-08,2025-12-11,7850,7230,6280,Pago Total,Ambato,Ambato,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0023,192,173,3,2,3,2,1,Lateral,6,No aplica,No aplica,Parqueadero,Noche seca,No,No,,0.25,0,normal,19700,200,Agente,No,1,0.3985,17,28.8,21.1,Verde Bajo,Frecuencia moderada de reclamos del asegurado | Alta frecuencia de reclamos del vehiculo | Frecuencia moderada de reclamos del conductor | Antecedente de reclamo solo RC,,Continuar flujo normal con controles estandar
SIN-00236,POL-00165,ASEG-00180,VEH-00339,COND-00187,PROV-0030,Vehiculos,Danos Propios,2023-12-16,2023-12-17,4960,6120,0,Pago Parcial,Guayaquil Sur,Guayaquil,Colision posterior a baja velocidad durante trafico pesado. El tercero fue identificado y se adjunta contacto.,Si,PROV-0030,315,50,1,3,5,0,1,Estacionado,16,No,No,Perimetral,Lluvia,No,No,,0.1,0,normal,55700,1000,Sucursal,No,0,0.089,17,23.8,19.4,Verde Bajo,Alta frecuencia de reclamos del asegurado | Alta frecuencia de reclamos del vehiculo | Antecedente de reclamo solo RC,,Continuar flujo normal con controles estandar
SIN-00237,POL-00041,ASEG-00214,VEH-00177,COND-00455,PROV-0025,Vehiculos,Choque,2025-12-05,2025-12-08,5130,4920,3080,Pago Parcial,Guayaquil Sur,Guayaquil,Me chocaron saliendo del parqueadero y el otro vehiculo huyo sin dejar datos.,Si,PROV-0025,298,67,3,1,3,2,0,Volcadura,0,Si,Si,Parqueadero,Lluvia,No,No,CLON-01,0.77,0,medio,19200,400,Sucursal,No,0,0.2672,17,42.0,25.7,Verde Bajo,Alta frecuencia de reclamos del vehiculo | Frecuencia moderada de reclamos del conductor | Accidente complejo en horario de madrugada | Narrativa con similitud entre 70% y 84%,,Continuar flujo normal con controles estandar
SIN-00238,POL-00335,ASEG-00247,VEH-00053,COND-00034,PROV-0030,Vehiculos,Danos Propios,2023-09-22,2023-09-24,4410,5300,0,Reserva,Cuenca,Cuenca,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0030,111,254,2,1,1,0,0,Lateral,22,Si,Si,Perimetral,Noche seca,No,No,,0.48,0,normal,33100,1000,Sucursal,No,0,0.1332,0,22.8,8.0,Verde Bajo,Sin alertas relevantes,,Continuar flujo normal con controles estandar
SIN-00239,POL-00463,ASEG-00258,,,PROV-0001,Accidentes Personales,Accidente Personal,2025-09-10,2025-09-10,1820,2140,730,Negativa,Cuenca,Cuenca,Colision posterior a baja velocidad durante trafico pesado. El tercero fue identificado y se adjunta contacto.,Si,PROV-0001,99,266,0,2,0,0,1,Volcadura,20,Si,No aplica,Perimetral,Noche lluvia,No,No,,0.27,0,normal,30000,0,Banca Seguros,No,0,0.0607,7,24.2,13.0,Verde Bajo,Frecuencia moderada de reclamos del asegurado | Antecedente de reclamo solo RC,,Continuar flujo normal con controles estandar
SIN-00240,POL-00115,ASEG-00083,VEH-00418,COND-00447,PROV-0049,Vehiculos,Choque,2025-03-28,2025-03-31,5890,5280,4710,Pago Total,Cuenca,Cuenca,Robo parcial de accesorios durante la noche. Se presenta denuncia y detalle de bienes afectados.,Si,PROV-0049,243,122,3,4,1,1,0,Frontal,6,No,Si,Interprovincial,Noche lluvia,No,No,,0.29,0,normal,28800,400,Directo Web,No,5,0.2045,13,11.7,12.5,Verde Bajo,Alta frecuencia de reclamos del asegurado | Proveedor recurrente en casos observados,,Continuar flujo normal con controles estandar
SIN-00241,POL-00032,ASEG-00053,VEH-00125,COND-00352,PROV-0040,Vehiculos,Danos Propios,2024-12-08,2024-12-09,1320,1630,0,Reserva,Quito Norte,Quito,Colision posterior a baja velocidad durante trafico pesado. El tercero fue identificado y se adjunta contacto.,Si,PROV-0040,310,55,1,5,0,3,1,Estacionado,5,Si,No,Residencial,Noche seca,No,No,,0.29,0,normal,10700,1000,Sucursal,No,1,0.1234,19,30.7,23.1,Verde Bajo,Alta frecuencia de reclamos del asegurado | Alta frecuencia de reclamos del conductor | Antecedente de reclamo solo RC,,Continuar flujo normal con controles estandar
SIN-00242,POL-00426,ASEG-00074,VEH-00153,COND-00051,PROV-0012,Vehiculos,Danos Propios,2025-06-14,2025-06-14,2380,2560,950,Negativa,Quito Centro,Quito,Accidente en avenida principal durante lluvia. Se adjunta croquis y datos del tercero involucrado.,Si,PROV-0012,130,235,0,1,4,1,0,Posterior,17,Si,No,Interprovincial,Noche seca,No,No,,0.47,0,normal,9100,400,Broker,No,0,0.2615,6,23.5,12.1,Verde Bajo,Alta frecuencia de reclamos del vehiculo,,Continuar flujo normal con controles estandar
SIN-00243,POL-00253,ASEG-00229,VEH-00409,COND-00024,PROV-0037,Vehiculos,Responsabilidad Civil,2024-12-07,2024-12-10,2700,1960,2160,Cierre Sin Consecuencia,Quito Sur,Quito,En la madrugada encontre el vehiculo golpeado y no existen camaras disponibles.,No,PROV-0037,337,28,3,3,2,0,0,Frontal,4,Si,No aplica,Parqueadero,Despejado,No,No,CLON-02,0.96,1,alto,32600,500,Sucursal,No,1,0.0828,30,61.8,61.1,Amarillo Medio,Borde vigencia: siniestro cerca de fin de poliza | Alta frecuencia de reclamos del asegurado | Frecuencia moderada de reclamos del vehiculo | Documentos incompletos | Accidente complejo en horario de madrugada | Narrativa con similitud mayor a 85% frente a otro reclamo,RF-07,Escalar a revision documental y validacion de soportes
SIN-00244,POL-00317,ASEG-00159,VEH-00282,COND-00424,PROV-0024,Vehiculos,Cristales,2023-05-09,2023-05-13,820,660,490,Cierre Sin Consecuencia,Santo Domingo,Santo Domingo,El vehiculo fue encontrado con danos al amanecer. No se identifica tercero responsable.,Si,PROV-0024,122,243,4,0,0,0,0,Lateral,14,Si,No,Perimetral,Despejado,No,No,,0.51,0,medio,31500,200,Directo Web,No,0,0.026,8,38.2,18.6,Verde Bajo,Proveedor recurrente en casos observados | Reporte tardio entre 4 y 7 dias,,Continuar flujo normal con controles estandar
SIN-00245,POL-00340,ASEG-00111,,,PROV-0045,Generales,Robo Domiciliario,2025-07-12,2025-07-14,4350,3350,3480,Reserva,Quito Norte,Quito,El conductor reporta perdida de control en curva sin testigos disponibles.,No,PROV-0045,104,261,2,1,0,0,0,Robo,1,No,Si,Residencial,Noche lluvia,Si,No,,0.43,0,medio,25000,250,Directo Web,No,5,0.174,23,39.8,57.8,Amarillo Medio,Demora denuncia por robo entre 24 y 48 horas | Proveedor recurrente en casos observados | Documentos incompletos | Documentos inconsistentes o fechas no coinciden,RF-02,Escalar a revision documental y validacion de soportes
SIN-00246,POL-00063,ASEG-00338,VEH-00024,COND-00004,PROV-0051,Vehiculos,Responsabilidad Civil,2024-03-18,2024-03-19,7130,7110,7130,Liquidado,Quito Centro,Quito,El reclamo incluye factura emitida el mismo dia del evento y documentos entregados parcialmente.,Si,PROV-0051,131,234,1,0,2,0,0,Lateral,3,No,No,Residencial,Lluvia,No,No,,0.54,0,medio,41300,1000,Agente,No,2,0.1726,3,29.6,12.3,Verde Bajo,Frecuencia moderada de reclamos del vehiculo,,Continuar flujo normal con controles estandar
SIN-00247,POL-00337,ASEG-00207,VEH-00296,COND-00357,PROV-0024,Vehiculos,Cristales,2023-10-26,2023-10-31,890,1020,710,Liquidado,Guayaquil Centro,Guayaquil,Colision posterior a baja velocidad durante trafico pesado. El tercero fue identificado y se adjunta contacto.,Si,PROV-0024,232,133,5,0,0,0,0,Multiple,17,No,No,Parqueadero,Noche seca,No,No,,0.36,0,normal,28500,250,Banca Seguros,No,0,0.0312,8,14.1,10.2,Verde Bajo,Proveedor recurrente en casos observados | Reporte tardio entre 4 y 7 dias,,Continuar flujo normal con controles estandar
SIN-00248,POL-00053,ASEG-00094,VEH-00058,COND-00365,PROV-0056,Vehiculos,Responsabilidad Civil,2024-06-09,2024-06-11,650,720,650,Reserva,Guayaquil Norte,Guayaquil,Atencion medica por accidente de transito con factura y formulario completo.,Si,PROV-0056,35,330,2,0,0,0,0,Posterior,21,No aplica,No,Parqueadero,Noche lluvia,No,No,,0.16,0,normal,5800,400,Broker,No,0,0.1121,0,4.8,1.7,Verde Bajo,Sin alertas relevantes,,Continuar flujo normal con controles estandar
SIN-00249,POL-00131,ASEG-00131,VEH-00128,COND-00263,PROV-0045,Vehiculos,Gastos Medicos por Accidente,2025-08-05,2025-08-17,640,450,390,Negativa,Guayaquil Centro,Guayaquil,Accidente en avenida principal durante lluvia. Se adjunta croquis y datos del tercero involucrado.,No,PROV-0045,17,348,12,0,1,1,0,Robo,20,Si,No,Parqueadero,Neblina,No,No,,0.5,1,alto,14700,250,Broker,No,5,0.0435,18,56.6,31.5,Verde Bajo,Borde vigencia: siniestro entre dias 11 y 30 | Proveedor recurrente en casos observados | Documentos incompletos | Reporte tardio mayor a 7 dias,,Continuar flujo normal con controles estandar
SIN-00250,POL-00074,ASEG-00079,,,PROV-0040,Hogar,Dano por Agua,2026-06-19,2026-06-20,6110,6970,0,Liquidado,Quito Centro,Quito,Robo parcial de accesorios durante la noche. Se presenta denuncia y detalle de bienes afectados.,Si,PROV-0040,224,141,1,2,0,0,0,Frontal,14,No,Si,Perimetral,Neblina,No,No,,0.21,0,normal,20000,150,Broker,No,1,0.3055,4,26.0,11.7,Verde Bajo,Frecuencia moderada de reclamos del asegurado,,Continuar flujo normal con controles estandar
SIN-00251,POL-00003,ASEG-00023,VEH-00253,COND-00252,PROV-0027,Vehiculos,Responsabilidad Civil,2026-04-13,2026-04-15,2520,2910,2520,Reserva,Quito Norte,Quito,Colision posterior a baja velocidad durante trafico pesado. El tercero fue identificado y se adjunta contacto.,Si,PROV-0027,291,74,2,1,1,0,0,Posterior,18,Si,Si,Perimetral,Noche seca,No,No,,0.37,0,normal,48600,250,Banca Seguros,No,2,0.0519,0,12.6,4.4,Verde Bajo,Sin alertas relevantes,,Continuar flujo normal con controles estandar
SIN-00252,POL-00163,ASEG-00276,VEH-00268,COND-00235,PROV-0026,Vehiculos,Robo Parcial,2024-11-28,2024-11-29,2160,2570,860,Pago Total,Cuenca,Cuenca,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0026,152,213,1,1,1,0,0,Robo,4,No aplica,Si,Urbana,Noche lluvia,No,No,,0.16,0,normal,18900,1000,Banca Seguros,No,5,0.1143,9,11.8,10.0,Verde Bajo,Demora denuncia por robo entre 24 y 48 horas | Proveedor recurrente en casos observados,,Continuar flujo normal con controles estandar
SIN-00253,POL-00366,ASEG-00048,VEH-00257,COND-00161,PROV-0033,Vehiculos,Responsabilidad Civil,2025-01-09,2025-01-10,5830,5210,0,Reserva,Guayaquil Centro,Guayaquil,Ruptura de cristal por objeto en via. Se presenta factura y evidencia fotografica.,Si,PROV-0033,219,146,1,2,1,2,0,Posterior,9,Si,No aplica,Perimetral,Despejado,No,No,,0.3,0,normal,23900,1000,Banca Seguros,No,9,0.2439,13,22.3,16.3,Verde Bajo,Frecuencia moderada de reclamos del asegurado | Frecuencia moderada de reclamos del conductor | Proveedor recurrente en casos observados,,Continuar flujo normal con controles estandar
SIN-00254,POL-00256,ASEG-00055,VEH-00295,COND-00475,PROV-0027,Vehiculos,Choque,2025-01-02,2025-01-07,6100,5730,4880,Reserva,Quito Sur,Quito,Robo parcial de accesorios durante la noche. Se presenta denuncia y detalle de bienes afectados.,Si,PROV-0027,78,287,5,6,2,1,0,Frontal,4,Si,Si,Parqueadero,Neblina,Si,No,,0.53,0,normal,21200,500,Sucursal,No,2,0.2877,27,29.3,60.6,Amarillo Medio,Alta frecuencia de reclamos del asegurado | Frecuencia moderada de reclamos del vehiculo | Documentos inconsistentes o fechas no coinciden | Accidente complejo en horario de madrugada | Reporte tardio entre 4 y 7 dias,RF-02,Escalar a revision documental y validacion de soportes
SIN-00255,POL-00362,ASEG-00014,VEH-00003,COND-00128,PROV-0012,Vehiculos,Responsabilidad Civil,2023-12-24,2023-12-29,5080,4500,0,Reserva,Quito Norte,Quito,Colision posterior a baja velocidad durante trafico pesado. El tercero fue identificado y se adjunta contacto.,No,PROV-0012,33,332,5,1,1,0,0,Posterior,15,Si,No,Parqueadero,Lluvia,No,No,,0.31,0,normal,49200,750,Directo Web,No,0,0.1033,7,14.8,9.7,Verde Bajo,Documentos incompletos | Reporte tardio entre 4 y 7 dias,,Continuar flujo normal con controles estandar
SIN-00256,POL-00064,ASEG-00238,VEH-00340,COND-00135,PROV-0057,Vehiculos,Responsabilidad Civil,2024-10-02,2024-10-02,2930,2690,2340,Pago Total,Quito Norte,Quito,Atencion medica por accidente de transito con factura y formulario completo.,No,PROV-0057,241,124,0,3,3,2,1,Robo,13,No,No,Interprovincial,Despejado,No,No,,0.38,0,normal,16600,400,Banca Seguros,No,1,0.1765,25,37.3,29.3,Verde Bajo,Alta frecuencia de reclamos del asegurado | Alta frecuencia de reclamos del vehiculo | Frecuencia moderada de reclamos del conductor | Antecedente de reclamo solo RC | Documentos incompletos,,Continuar flujo normal con controles estandar
